map_chips,batch_size,n_size,k_size,topology,total_latency,serialization_latency,first_byte_latency,total_energy,total_network_bytes,max_link_load,transfer_count,dominant_collective,dominant_tensor
64,256,4096,4096,Torus 4x4x4,1.9118659699555556,1.9118569699555557,9e-06,386.199164289024,68853694464.0,51539607552.0,3,ALLREDUCE,Matmul0:T1
64,256,4096,4096,Mesh 4x4x4,3.826710056088889,3.826696556088889,1.35e-05,772.398328578048,68853694464.0,103079215104.0,3,BROADCAST,Matmul0:T0
64,256,4096,4096,Ring 64,2.2698189112888887,2.2697709112888886,4.8e-05,208.078280589312,68853694464.0,67645734912.0,3,ALLREDUCE,Matmul0:T1
64,256,16384,2048,"Circulant {1,5,17}",2.5300101728,2.5300041728,6e-06,415.68304103424,137472507904.0,68719476736.0,3,BROADCAST,Matmul0:T0
64,256,16384,2048,Torus 4x4x4,3.8185033616,3.8184943616,9e-06,771.924808433664,137472507904.0,103079215104.0,3,ALLREDUCE,Matmul0:T1
64,256,16384,2048,Mesh 4x4x4,7.637747877244445,7.637734377244445,1.35e-05,1543.849616867328,137472507904.0,206158430208.0,3,BROADCAST,Matmul0:T0
64,256,16384,2048,Ring 64,4.5343702442666665,4.534322244266667,4.8e-05,415.68304103424,137472507904.0,135291469824.0,3,ALLREDUCE,Matmul0:T1
64,256,16384,4096,"Circulant {1,5,17}",5.061505653688888,5.061499653688889,6e-06,831.501373538304,275012124672.0,137438953472.0,3,BROADCAST,Matmul0:T0
64,256,16384,4096,Torus 4x4x4,7.63848903128889,7.638480031288889,9e-06,1543.9849083371519,275012124672.0,206158430208.0,3,ALLREDUCE,Matmul0:T1
64,256,16384,4096,Mesh 4x4x4,15.279956178755555,15.279942678755555,1.35e-05,3087.9698166743037,275012124672.0,412316860416.0,3,BROADCAST,Matmul0:T0
64,256,16384,4096,Ring 64,9.07018379662222,9.070135796622221,4.8e-05,831.501373538304,275012124672.0,270582939648.0,3,ALLREDUCE,Matmul0:T1
64,256,65536,2048,"Circulant {1,5,17}",10.117785729066668,10.117779729066667,6e-06,1662.529226932224,549789368320.0,274877906944.0,3,BROADCAST,Matmul0:T0
64,256,65536,2048,Torus 4x4x4,15.271749484266667,15.271740484266667,9e-06,3087.49629652992,549789368320.0,412316860416.0,3,ALLREDUCE,Matmul0:T1
64,256,65536,2048,Mesh 4x4x4,30.544240122577776,30.544226622577778,1.35e-05,6174.99259305984,549789368320.0,824633720832.0,3,BROADCAST,Matmul0:T0
64,256,65536,2048,Ring 64,18.135100014933332,18.135052014933333,4.8e-05,1662.529226932224,549789368320.0,541165879296.0,3,ALLREDUCE,Matmul0:T1
64,256,65536,4096,"Circulant {1,5,17}",20.237056766222224,20.23705076622222,6e-06,3325.193745334272,1099645845504.0,549755813888.0,3,BROADCAST,Matmul0:T0
64,256,65536,4096,Torus 4x4x4,30.544981276622224,30.54497227662222,9e-06,6175.127884529664,1099645845504.0,824633720832.0,3,ALLREDUCE,Matmul0:T1
64,256,65536,4096,Mesh 4x4x4,61.09294066942223,61.092927169422225,1.35e-05,12350.255769059328,1099645845504.0,1649267441664.0,3,BROADCAST,Matmul0:T0
64,256,65536,4096,Ring 64,36.27164333795555,36.27159533795555,4.8e-05,3325.193745334272,1099645845504.0,1082331758592.0,3,ALLREDUCE,Matmul0:T1
64,256,262144,2048,"Circulant {1,5,17}",40.468887954133336,40.46888195413334,6e-06,6649.91397052416,2199056809984.0,1099511627776.0,3,BROADCAST,Matmul0:T0
64,256,262144,2048,Torus 4x4x4,61.08473397493333,61.08472497493334,9e-06,12349.782248914944,2199056809984.0,1649267441664.0,3,ALLREDUCE,Matmul0:T1
64,256,262144,2048,Mesh 4x4x4,122.1702091039111,122.17019560391111,1.35e-05,24699.564497829888,2199056809984.0,3298534883328.0,3,BROADCAST,Matmul0:T0
64,256,262144,2048,Ring 64,72.5380190976,72.53797109759999,4.8e-05,6649.91397052416,2199056809984.0,2164663517184.0,3,ALLREDUCE,Matmul0:T1
64,256,262144,4096,"Circulant {1,5,17}",80.93926121635556,80.93925521635556,6e-06,13299.963232518145,4398180728832.0,2199023255552.0,3,BROADCAST,Matmul0:T0
64,256,262144,4096,Torus 4x4x4,122.17095025795555,122.17094125795556,9e-06,24699.69978929971,4398180728832.0,3298534883328.0,3,ALLREDUCE,Matmul0:T1
64,256,262144,4096,Mesh 4x4x4,244.3448786320889,244.3448651320889,1.35e-05,49399.39957859942,4398180728832.0,6597069766656.0,3,BROADCAST,Matmul0:T0
64,256,262144,4096,Ring 64,145.07748150328888,145.0774335032889,4.8e-05,13299.963232518145,4398180728832.0,4329327034368.0,3,ALLREDUCE,Matmul0:T1
